AccountNumber,SubRegion,Region,Latitude,Longitude,Currency,Acres
99-3901621,South America,LATAM,-23.2860188,-47.6790285,BRL,93
61-0825788,South America,LATAM,-17.1113356,-43.8203315,BRL,114
11-2436068,South America,LATAM,-23.372338,-46.8446611,BRL,94
43-6412318,South America,LATAM,-28.3833642,-53.929557,BRL,112
12-2915207,South America,LATAM,-15.3122723,-49.1166441,BRL,100
65-5041521,South America,LATAM,-3.7300232,-40.9926511,BRL,116
30-0036846,South America,LATAM,-8.8828551,-36.4968966,BRL,116
10-8722256,Eastern Europe,EMEA,43.4018427,28.413371,BGN,12
39-5179851,Western Africa,EMEA,12.5840501,-1.2987349,XOF,7
60-9973998,Central Africa,EMEA,4.9697573,10.7013332,XAF,12
39-2389841,Central Africa,EMEA,7.2466086,16.4346979,XAF,8
41-1298350,South America,LATAM,-36.1406484,-71.8227528,CLP,17
22-1387964,East Asia,APAC,39.170826,100.836184,CNY,2
65-6644663,East Asia,APAC,32.096344,118.909159,CNY,1
78-3680900,East Asia,APAC,38.521085,102.194089,CNY,1
70-7007585,East Asia,APAC,28.861256,116.783842,CNY,2
81-4299998,East Asia,APAC,29.208918,119.460526,CNY,1
67-7798307,East Asia,APAC,34.348841,118.993664,CNY,2
33-8261499,East Asia,APAC,23.528427,116.399409,CNY,2
28-6310017,East Asia,APAC,40.420237,114.090867,CNY,2
78-8169071,East Asia,APAC,37.467686,121.153674,CNY,1
93-0053503,East Asia,APAC,28.127664,110.90203,CNY,1
04-4892901,East Asia,APAC,24.546876,107.04219,CNY,2
90-5453250,East Asia,APAC,35.591349,108.104291,CNY,2
06-1250084,East Asia,APAC,35.121884,119.318928,CNY,2
50-1727793,East Asia,APAC,43.65289,122.243444,CNY,1
76-7864459,East Asia,APAC,41.217649,123.1966721,CNY,2
46-8696913,East Asia,APAC,27.928835,101.280205,CNY,2
06-8156572,East Asia,APAC,27.720727,118.132068,CNY,1
67-7928364,East Asia,APAC,33.631238,113.645873,CNY,1
06-2303343,East Asia,APAC,39.884007,116.318712,CNY,1
74-1947633,East Asia,APAC,27.69417,109.73583,CNY,2
32-0243336,East Asia,APAC,28.260189,117.069202,CNY,2
27-2578491,East Asia,APAC,29.00091,120.568856,CNY,2
31-7994827,East Asia,APAC,24.546876,107.04219,CNY,1
16-4273426,East Asia,APAC,23.902479,106.618283,CNY,1
72-1756476,East Asia,APAC,37.619096,120.846204,CNY,2
23-6510510,East Asia,APAC,29.893672,110.346166,CNY,2
58-7962994,East Asia,APAC,30.940195,118.75868,CNY,1
03-8136797,East Asia,APAC,31.3270103,121.5909344,CNY,2
53-0769375,East Asia,APAC,29.831643,120.307334,CNY,2
79-5287855,East Asia,APAC,38.94081,117.325744,CNY,2
34-6766497,East Asia,APAC,22.948016,113.366904,CNY,1
33-0304128,East Asia,APAC,34.542308,118.752842,CNY,2
87-9317427,East Asia,APAC,29.289085,111.189296,CNY,1
55-1867548,East Asia,APAC,23.358695,116.687155,CNY,1
41-9484095,East Asia,APAC,30.577776,99.197234,CNY,2
83-8772246,East Asia,APAC,21.630384,111.000373,CNY,1
91-4568220,East Asia,APAC,40.576319,110.044106,CNY,1
04-8406380,East Asia,APAC,39.793846,116.7156302,CNY,1
25-7531792,East Asia,APAC,23.401553,114.59862,CNY,2
25-2891553,East Asia,APAC,39.9666494,116.4041472,CNY,1
85-9690106,East Asia,APAC,32.131522,115.051908,CNY,2
28-6733913,East Asia,APAC,39.197212,117.059698,CNY,1
92-7561277,East Asia,APAC,40.214408,116.409549,CNY,1
15-5755407,East Asia,APAC,30.368126,102.814531,CNY,2
76-9023988,East Asia,APAC,28.008237,114.033247,CNY,1
16-1252732,East Asia,APAC,18.504589,108.79313,CNY,2
49-7006403,East Asia,APAC,29.482105,86.228141,CNY,1
36-5446419,East Asia,APAC,22.198745,113.543873,CNY,1
97-0307191,East Asia,APAC,38.689897,115.780626,CNY,2
54-7964969,East Asia,APAC,32.099905,118.031463,CNY,1
86-9416887,East Asia,APAC,42.946285,126.060427,CNY,1
62-9674672,East Asia,APAC,23.213961,115.203506,CNY,1
13-1811389,East Asia,APAC,41.811979,126.918087,CNY,2
99-0660679,East Asia,APAC,30.145729,120.589457,CNY,2
36-3402737,East Asia,APAC,45.843424,127.75061,CNY,1
81-1440103,East Asia,APAC,22.6229329,113.2773942,CNY,1
07-7187508,East Asia,APAC,40.634244,108.893327,CNY,1
41-8152140,East Asia,APAC,34.2948431,117.1897677,CNY,2
13-5577953,East Asia,APAC,35.303704,113.926763,CNY,1
00-8878880,East Asia,APAC,31.12678,104.167501,CNY,1
20-8315627,East Asia,APAC,25.448371,118.296139,CNY,2
86-5897590,East Asia,APAC,36.978537,117.173524,CNY,1
90-6472546,East Asia,APAC,39.024258,88.166695,CNY,2
50-0097417,East Asia,APAC,24.922044,118.223965,CNY,2
85-5466281,East Asia,APAC,24.9936281,121.3009798,CNY,1
35-3203269,East Asia,APAC,36.139998,120.677011,CNY,2
37-1693248,East Asia,APAC,30.47863,111.459076,CNY,2
79-9547997,East Asia,APAC,31.3219,121.01853,CNY,1
04-9562472,East Asia,APAC,27.5566857,107.0336505,CNY,2
49-9917665,East Asia,APAC,30.3352,111.566008,CNY,1
64-4066518,East Asia,APAC,29.756501,121.507191,CNY,2
25-3181884,East Asia,APAC,22.843818,114.164223,CNY,1
66-7578788,East Asia,APAC,24.094765,116.00509,CNY,2
69-7474587,East Asia,APAC,22.579117,113.081508,CNY,2
35-6888776,East Asia,APAC,24.9936281,121.3009798,CNY,1
92-2211888,East Asia,APAC,38.308683,101.588353,CNY,1
65-6984035,East Asia,APAC,34.34866,106.009915,CNY,1
26-3373547,East Asia,APAC,29.605376,114.482606,CNY,1
72-7922919,East Asia,APAC,29.703113,107.389298,CNY,1
31-3896096,East Asia,APAC,30.378326,111.450006,CNY,1
55-5011068,East Asia,APAC,35.177451,109.590671,CNY,1
58-5213524,East Asia,APAC,49.806882,125.792864,CNY,2
33-0431599,East Asia,APAC,42.76631,129.427066,CNY,2
55-8480910,East Asia,APAC,39.9041999,116.4073963,CNY,1
47-2816375,East Asia,APAC,36.684789,118.479654,CNY,2
04-5104416,East Asia,APAC,27.622768,113.854556,CNY,2
11-8689945,East Asia,APAC,26.790544,99.816059,CNY,2
00-5267323,East Asia,APAC,25.770509,113.014717,CNY,2
23-3521116,East Asia,APAC,37.482422,114.693425,CNY,1
60-4930594,East Asia,APAC,30.169665,121.266579,CNY,2
34-8408874,East Asia,APAC,29.476705,121.869339,CNY,1
30-2756059,East Asia,APAC,29.55451,105.324979,CNY,2
46-7564984,East Asia,APAC,26.008257,115.162028,CNY,1
56-6792189,East Asia,APAC,32.04141,119.595828,CNY,1
18-1485790,East Asia,APAC,22.691253,114.346251,CNY,1
81-0974672,East Asia,APAC,29.205856,117.11078,CNY,2
94-0042040,East Asia,APAC,31.874138,103.573122,CNY,2
38-5133348,East Asia,APAC,26.201227,105.480028,CNY,2
80-9106219,East Asia,APAC,35.383289,112.662069,CNY,1
46-4800320,East Asia,APAC,46.18869,90.80581,CNY,2
46-1268459,East Asia,APAC,32.596752,95.308054,CNY,1
54-2591237,East Asia,APAC,30.2427011,120.1502699,CNY,2
47-8623514,East Asia,APAC,25.570888,111.945844,CNY,2
17-1413456,East Asia,APAC,34.168846,119.222197,CNY,1
72-4710527,East Asia,APAC,22.58405,113.093384,CNY,1
12-5085656,South America,LATAM,4.5943745,-74.0740729,COP,3
48-2070644,South America,LATAM,5.255906,-75.1538939,COP,2
89-9847337,South America,LATAM,7.0706548,-73.4415929,COP,3
61-2288097,South America,LATAM,1.2255938,-77.6611917,COP,3
26-6871208,South America,LATAM,8.1607397,-75.1078332,COP,2
85-1631479,Central America,LATAM,9.696521,-84.051283,CRC,25
17-2457212,Central America,LATAM,9.914487,-84.179403,CRC,32
93-0440267,Central America,LATAM,10.4492758,-84.2725621,CRC,27
09-7069100,Eastern Europe,EMEA,44.9248529,13.8198739,HRK,11
89-4886156,Eastern Europe,EMEA,44.3200232,15.1873721,HRK,13
69-9263997,Eastern Europe,EMEA,45.7608012,15.8843252,HRK,12
82-9910022,Central Europe,EMEA,49.2199465,14.419863,CZK,48
01-0884044,Central Europe,EMEA,49.4434442,15.8815566,CZK,40
63-4675802,Central Europe,EMEA,48.9893868,16.9151793,CZK,35
11-7153360,Central Europe,EMEA,49.7694382,13.5090071,CZK,37
52-8554654,Central Europe,EMEA,50.4800637,16.1816772,CZK,53
00-8581169,Central Europe,EMEA,50.9603536,14.3596743,CZK,46
93-3324000,Central Europe,EMEA,50.5878419,13.8083154,CZK,53
54-8020979,Central Europe,EMEA,50.4727367,15.3845968,CZK,49
41-9173784,Central Europe,EMEA,48.8032212,17.0157272,CZK,52
55-4189285,Central Europe,EMEA,50.5965585,13.5929744,CZK,38
83-9696394,Central Europe,EMEA,49.2952364,14.4681017,CZK,47
09-7567916,Central Europe,EMEA,49.522946,16.2614713,CZK,55
55-4658781,Central Europe,EMEA,50.4919489,13.2886723,CZK,34
71-6975558,Caribbean,LATAM,18.934217,-70.4066437,DOP,13
97-7273436,Caribbean,LATAM,19.6478178,-71.0998393,DOP,7
17-6234862,South America,LATAM,-1.054723,-80.4524903,USD,74
14-7885149,Eastern Africa,EMEA,15.3228767,38.9250517,ERN,5
47-8332813,Eastern Europe,EMEA,59.5006139,26.5144402,EUR,25
45-3725389,Eastern Europe,EMEA,59.3796798,28.1791333,EUR,25
43-9679856,Eastern Africa,EMEA,5.6497493,37.3693679,ETB,6
92-3940855,Eastern Africa,EMEA,7.1972968,38.6005328,ETB,6
25-5193209,Western Africa,EMEA,13.5923622,-14.6354631,GMD,4
21-7552835,Caucusus,EMEA,41.8963254,45.5751086,GEL,8
19-0166552,Western Africa,EMEA,6.6058668,-0.7117137,GHS,3
64-3356021,European Union,EMEA,36.8771299,27.2053498,EUR,17
69-3195974,European Union,EMEA,37.9943201,23.3430496,EUR,18
37-1677008,European Union,EMEA,40.4476834,25.5917918,EUR,17
52-6053952,European Union,EMEA,39.28167,21.90611,EUR,15
28-6846311,European Union,EMEA,40.6661376,22.9037753,EUR,18
21-4010209,European Union,EMEA,37.4703686,22.1773357,EUR,15
37-8370566,European Union,EMEA,41.0640026,25.6858475,EUR,16
95-6712911,Central America,LATAM,14.990034,-89.719295,GTQ,7
66-1791263,Central America,LATAM,15.8303364,-91.7183488,GTQ,7
91-1933639,Central America,LATAM,14.2712301,-90.0375295,GTQ,6
55-9976048,Central America,LATAM,15.845053,-88.773702,GTQ,7
40-7889361,Caribbean,LATAM,18.5614891,-74.4195864,HTG,3
18-0306072,Caribbean,LATAM,14.6408102,-87.921223,HNL,11
16-9598751,Caribbean,LATAM,15.2674321,-88.5420304,HNL,11
41-8458113,Southeast Asia,APAC,-8.557437,114.0369075,IDR,1
00-6267438,Southeast Asia,APAC,-7.7514362,110.4162931,IDR,1
82-1682116,Southeast Asia,APAC,-6.5211331,106.8502879,IDR,3
71-2876572,Southeast Asia,APAC,-10.2413,123.699,IDR,1
66-7123850,Southeast Asia,APAC,-7.3506492,107.8317307,IDR,2
91-3483863,Southeast Asia,APAC,-8.2764084,123.309328,IDR,2
78-1425188,Southeast Asia,APAC,-8.7820436,120.4155972,IDR,1
52-9659634,Southeast Asia,APAC,1.0673379,99.734444,IDR,3
82-0937424,Southeast Asia,APAC,-8.0663604,113.4418908,IDR,1
92-9115575,Southeast Asia,APAC,-6.8544539,106.5230542,IDR,1
78-8031873,Southeast Asia,APAC,-6.1923925,106.8218403,IDR,1
27-3195161,Southeast Asia,APAC,-3.565921,114.7855271,IDR,1
65-7493545,Southeast Asia,APAC,-6.8027421,105.7644596,IDR,3
64-5599445,Southeast Asia,APAC,-3.7368149,119.5803605,IDR,1
20-6361154,Southeast Asia,APAC,-7.158502,109.263397,IDR,3
04-5002990,Southeast Asia,APAC,-8.6423128,120.4559258,IDR,1
04-9195151,Southeast Asia,APAC,5.465831,95.4227312,IDR,1
52-9724804,Southeast Asia,APAC,-7.8013074,111.6541483,IDR,2
38-2016690,Southeast Asia,APAC,-7.3081882,109.228143,IDR,2
44-5209909,Southeast Asia,APAC,-6.7543488,108.4602464,IDR,1
72-2324875,Southeast Asia,APAC,-8.7990258,115.2200884,IDR,3
13-7510436,Southeast Asia,APAC,-8.6268,120.4599,IDR,1
48-0311557,Southeast Asia,APAC,-8.219061,128.941023,IDR,2
49-4331713,Southeast Asia,APAC,-8.2791,112.9733,IDR,3
51-4185166,Southeast Asia,APAC,-3.2930615,114.2747123,IDR,1
56-6647413,Southeast Asia,APAC,-2.622461,102.754898,IDR,2
92-6849190,Southeast Asia,APAC,-0.7399711,133.7941356,IDR,2
67-1375162,Southeast Asia,APAC,-8.681907,117.2440957,IDR,1
44-6716259,Southeast Asia,APAC,-9.9678,124.536223,IDR,3
79-8271999,Southeast Asia,APAC,-6.8622047,111.6051176,IDR,1
94-6854600,Southeast Asia,APAC,-7.5450262,111.6556388,IDR,3
96-3591709,Southeast Asia,APAC,-7.8748176,110.3255365,IDR,3
49-0770383,Southeast Asia,APAC,-8.6268,120.4599,IDR,1
06-2894028,Southeast Asia,APAC,-6.183459,106.7647475,IDR,2
41-1299376,Southeast Asia,APAC,-7.150975,110.1402594,IDR,2
30-9671347,Southeast Asia,APAC,-2.5394654,112.9586863,IDR,2
44-0208734,Southeast Asia,APAC,-8.5320128,122.904318,IDR,2
21-8769070,Southeast Asia,APAC,-8.650979,116.3249438,IDR,2
57-7200202,Southeast Asia,APAC,-6.245333,106.804332,IDR,1
61-3659397,Southeast Asia,APAC,-6.7189946,111.0479956,IDR,1
18-8154196,Southeast Asia,APAC,-7.1549929,109.5925139,IDR,1
12-2981036,Southeast Asia,APAC,-7.4585953,107.6008169,IDR,2
22-2053231,Southeast Asia,APAC,-7.811056,108.438797,IDR,3
66-8229120,Southeast Asia,APAC,-6.8435796,106.8296372,IDR,1
46-4045370,Middle East,EMEA,26.2350988,60.2284437,IRR,23
75-2598281,Middle East,EMEA,37.1504622,42.6726771,IQD,19
98-0711235,Middle East,EMEA,32.058597,34.9136,ILS,32
07-8442497,Western Africa,EMEA,6.6486989,-4.2051476,XOF,8
20-5278669,Western Africa,EMEA,7.4240414,-6.0520363,XOF,8
40-7787315,Central Asia,EMEA,53.8031587,64.1828536,KZT,3
19-9751666,Central Asia,EMEA,43.4259712,77.0216405,KZT,3
53-3414548,Central Asia,EMEA,49.5743316,72.8993193,KZT,3
98-9730243,Eastern Africa,EMEA,-1.0875428,35.8770642,KES,1
75-8655478,Baltic States,EMEA,57.1770444,26.0336703,EUR,6
64-2539603,Middle East,EMEA,34.3963158,35.8958444,LBP,4
12-8752103,Northern Africa,EMEA,32.3196827,15.1025075,LYD,7
76-5039611,Northern Africa,EMEA,24.2233588,23.3005731,LYD,3
30-1408747,Eastern Europe,EMEA,41.4410475,22.0126949,MKD,9
11-1974323,Southeast Asia,APAC,3.1523104,101.7178316,MYR,6
56-6109090,Oceania,AMER,9.82511,169.31065,USD,6
85-1587827,Eastern Africa,EMEA,-20.4200737,57.5490299,MUR,4
03-5392700,North America,AMER,25.6775595,-100.2596935,MXN,16
61-2836749,North America,AMER,17.7855637,-99.9792312,MXN,46
32-7788583,North America,AMER,19.3803931,-99.1476908,MXN,31
37-6815097,Northern Africa,EMEA,34.4912621,-5.1262689,MAD,10
49-4685620,Northern Africa,EMEA,32.7668648,-7.5057737,MAD,13
91-5812830,Eastern Africa,EMEA,-15.1266347,39.2687161,MZN,18
36-7198219,Southeast Asia,APAC,16.4543173,97.6439611,MMK,2
45-8060578,Central America,LATAM,11.4522433,-85.8050987,NIO,4
36-0202694,Western Africa,EMEA,11.0991113,5.2527741,NGN,4
89-7694937,Western Africa,EMEA,9.8513884,11.1164452,NGN,2
65-2584352,Western Africa,EMEA,12.0545608,8.2732659,NGN,4
04-3083178,Western Africa,EMEA,5.6397155,5.890794,NGN,7
83-2482119,Western Africa,EMEA,12.3508099,7.255737,NGN,8
53-8188102,South Asia,APAC,32.7436286,74.2751428,PKR,7
76-4012643,South Asia,APAC,25.8056887,68.4065979,PKR,7
35-6566440,Middle East,EMEA,31.7053821,35.2024425,ILS,7
48-9762659,Central America,LATAM,9.3450522,-79.804459,PAB,4
84-4330473,Central America,LATAM,8.3048218,-80.5569566,PAB,4
75-8944888,Central America,LATAM,8.2853585,-78.1792434,PAB,4
33-3793998,Central America,LATAM,8.0036924,-81.5596427,PAB,4
22-7890025,South America,LATAM,-25.5085286,-54.6753231,PYG,8
57-2566412,South America,LATAM,-27.0501654,-55.5746294,PYG,8
82-1959713,South America,LATAM,-13.07361,-74.41194,PEN,4
19-0363334,South America,LATAM,-8.637081,-77.068703,PEN,8
11-4591030,South America,LATAM,-8.0884404,-79.0872788,PEN,7
57-6086130,South America,LATAM,-7.4242735,-79.5069436,PEN,4
55-0489516,South America,LATAM,-11.403372,-74.752726,PEN,7
61-7369213,South America,LATAM,-9.3601019,-77.553344,PEN,4
30-1787391,Southeast Asia,APAC,15.5168467,120.6069565,PHP,5
25-5650321,Southeast Asia,APAC,6.9304836,124.8918574,PHP,6
02-7665107,Southeast Asia,APAC,17.0932938,121.8542334,PHP,6
91-2359920,Southeast Asia,APAC,10.1834676,123.7325652,PHP,8
94-3171000,Southeast Asia,APAC,10.8825337,124.9871635,PHP,6
52-9051900,Southeast Asia,APAC,6.14444,125.70083,PHP,7
53-0579915,Southeast Asia,APAC,14.5672162,121.0042974,PHP,8
36-5301769,Southeast Asia,APAC,15.988415,120.3899324,PHP,7
88-9054012,Southeast Asia,APAC,14.570924,121.0276584,PHP,6
34-9472308,Southeast Asia,APAC,14.9795865,120.6149195,PHP,8
03-9503292,Southeast Asia,APAC,16.2463509,120.9986275,PHP,8
12-4056068,Southeast Asia,APAC,13.4253347,123.2648166,PHP,6
99-3217447,Southeast Asia,APAC,10.277766,123.85681,PHP,5
26-0995743,Southeast Asia,APAC,7.1089121,125.6925429,PHP,8
31-2895359,Southeast Asia,APAC,17.4458367,121.5250628,PHP,7
24-7193488,Southeast Asia,APAC,7.3517838,122.2833466,PHP,5
87-0172689,Southeast Asia,APAC,10.3570129,123.9839638,PHP,5
20-2887139,Southeast Asia,APAC,8.1592413,125.2824211,PHP,7
00-2235512,Southeast Asia,APAC,11.427407,122.597251,PHP,5
29-0407829,Southeast Asia,APAC,8.9951264,124.8833084,PHP,6
61-7942437,Southeast Asia,APAC,14.7172639,121.0413488,PHP,5
82-0472564,Central Europe,EMEA,50.057265,22.275776,PLN,20
31-7440473,Central Europe,EMEA,49.9569799,22.3925325,PLN,21
31-6459950,Central Europe,EMEA,50.810462,16.2478969,PLN,22
03-9905279,Central Europe,EMEA,49.9513027,20.3412605,PLN,21
56-7063985,Central Europe,EMEA,52.7602576,20.5308214,PLN,16
76-5891880,Central Europe,EMEA,50.002337,22.6516099,PLN,15
04-8197451,Central Europe,EMEA,51.961354,21.97131,PLN,21
17-9973092,Central Europe,EMEA,51.612047,18.615044,PLN,14
15-2247785,Central Europe,EMEA,54.3093365,19.0532045,PLN,14
21-8861935,Central Europe,EMEA,52.5234718,15.4078292,PLN,19
15-4743445,Central Europe,EMEA,51.2034445,18.9005028,PLN,21
31-1179401,Central Europe,EMEA,50.0797896,20.1777202,PLN,18
06-2414421,Central Europe,EMEA,50.0898965,19.7935705,PLN,19
35-5990805,Central Europe,EMEA,53.6115,22.06311,PLN,19
39-8476343,Central Europe,EMEA,50.9033889,14.9611203,PLN,16
48-2732603,Central Europe,EMEA,50.9766178,21.7264116,PLN,21
25-9401648,European Union,EMEA,40.3219266,-7.612767,EUR,10
05-8748140,European Union,EMEA,39.0107208,-9.285291,EUR,21
96-7647980,European Union,EMEA,39.7847567,-8.6496676,EUR,22
87-4445123,European Union,EMEA,40.4387139,-8.7142851,EUR,20
26-3547508,European Union,EMEA,41.1256135,-7.925857,EUR,9
46-3048686,European Union,EMEA,42.0876245,-8.2745719,EUR,19
80-4827223,European Union,EMEA,38.6037983,-9.1672878,EUR,22
72-3626003,European Union,EMEA,41.5654743,-8.408069,EUR,19
03-6710492,European Union,EMEA,38.9622585,-9.3855536,EUR,21
47-8322991,European Union,EMEA,41.4252912,-8.5601403,EUR,10
74-5055741,European Union,EMEA,40.6892276,-8.6031905,EUR,10
02-8334347,Eastern Europe,EMEA,45.9469236,20.1591006,RSD,7
48-7215228,Eastern Europe,EMEA,45.112439,21.2185241,RSD,7
75-7055117,Eastern Europe,EMEA,45.6408779,20.4256633,RSD,7
21-9559464,Eastern Europe,EMEA,43.1405124,21.2734409,RSD,7
23-5591011,Central Europe,EMEA,48.1997412,16.983641,EUR,5
34-6853683,Central Europe,EMEA,45.4698284,13.6405292,EUR,5
29-2553410,Central Europe,EMEA,46.3499163,15.1107601,EUR,5
09-3301990,Southern Africa,EMEA,-32.7071454,26.2952385,ZAR,25
31-9526625,Southern Africa,EMEA,-33.3117281,26.5145058,ZAR,51
23-1111760,South Asia,APAC,9.665692,80.0161127,LKR,6
28-2694379,Middle East,EMEA,32.7128968,36.5662858,SYP,48
47-5530734,Eastern Africa,EMEA,-11.3462099,38.411369,TZS,3
40-6819852,Eastern Africa,EMEA,-3.6528013,32.1611288,TZS,3
13-0312548,Eastern Africa,EMEA,-3.380978,36.8398354,TZS,3
52-2615151,Eastern Africa,EMEA,-4.6,34.35,TZS,6
13-3077158,Southeast Asia,APAC,13.401306,101.3658004,THB,6
64-0391421,Southeast Asia,APAC,13.5368344,99.8276962,THB,8
82-9288865,Southeast Asia,APAC,16.0481202,105.1375908,THB,8
14-2843421,Southeast Asia,APAC,16.167313,99.950724,THB,7
52-4252826,Northern Africa,EMEA,35.4175712,10.997658,TND,5
99-8500787,Northern Africa,EMEA,33.7754716,10.9580947,TND,8
29-6815484,Eastern Africa,APAC,1.7131812,33.6063855,UGX,6
37-2172688,Eastern Africa,APAC,-0.9,30.416667,UGX,5
00-7149865,North America,AMER,43.0709333,-89.3274391,USD,317
88-7109905,North America,AMER,32.3855324,-86.2514126,USD,359
13-4923757,North America,AMER,28.3921554,-81.5322149,USD,305
93-6021177,North America,AMER,38.35,-81.63,USD,331
72-1759802,North America,AMER,39.68,-75.75,USD,207
10-1405767,North America,AMER,29.9997656,-95.1744903,USD,236
20-7826722,North America,AMER,42.3662435,-83.3270994,USD,368
35-9033771,North America,AMER,46.8843099,-96.7847834,USD,257
45-1989123,North America,AMER,38.92,-76.99,USD,300
72-2211334,North America,AMER,32.7311729,-97.4508426,USD,303
84-8601325,North America,AMER,34.6540922,-86.566246,USD,376
61-1808299,North America,AMER,30.5547139,-84.0801613,USD,334
45-5026782,North America,AMER,29.9997656,-95.1744903,USD,334
08-2910108,North America,AMER,30.02,-89.98,USD,335
49-4605464,North America,AMER,36.0268006,-83.7942551,USD,231
55-6717585,South America,LATAM,-34.6488719,-56.0668126,UYU,9
32-2518343,South America,LATAM,10.9015165,-64.0857232,VEF,50
15-1974695,South America,LATAM,10.4937816,-66.8760887,VEF,50
11-1575931,Southeast Asia,APAC,20.55832,106.56882,VND,2
98-2489738,Southeast Asia,APAC,15.4964006,108.2614775,VND,3
73-1433064,Southeast Asia,APAC,9.5713437,105.4495395,VND,2
24-0001722,Southeast Asia,APAC,21.1665519,104.9894851,VND,1
83-0344794,Southeast Asia,APAC,20.579097,105.8711861,VND,1
90-4078195,Southeast Asia,APAC,21.0078386,105.9376756,VND,2
59-7876821,Southeast Asia,APAC,15.58224,108.11422,VND,3
65-1155304,Southeast Asia,APAC,21.8628802,106.5377839,VND,2
06-0942613,Southeast Asia,APAC,12.5049537,107.6925674,VND,1
82-2157613,Southeast Asia,APAC,11.9891869,106.7942405,VND,1
51-3717289,Southeast Asia,APAC,13.541918,107.763621,VND,1
