Order Date	Agency ID	Seed ID	Quantity Ordered	Region	Owner ID
2/4/2017	22-7890025	A1019	266	LATAM	latam@mosaic.org
12/1/2017	23-1111760	A1028	83	APAC	apac@mosaic.org
5/4/2017	23-5591011	A1015	89	EMEA	emea@mosaic.org
10/26/2017	24-0001722	A1014	148	APAC	apac@mosaic.org
11/2/2016	25-5650321	A1034	147	APAC	apac@mosaic.org
3/4/2017	25-9401648	A1010	121	EMEA	emea@mosaic.org
7/9/2017	26-0995743	A1048	236	APAC	apac@mosaic.org
3/23/2017	26-6871208	A1039	164	LATAM	latam@mosaic.org
1/21/2017	28-2694379	A1024	159	EMEA	emea@mosaic.org
11/29/2017	29-0407829	A1037	202	APAC	apac@mosaic.org
12/18/2017	29-0407829	A1037	137	APAC	apac@mosaic.org
12/17/2016	29-0407829	A1025	29	APAC	apac@mosaic.org
7/23/2017	29-0407829	A1033	193	APAC	apac@mosaic.org
7/14/2017	30-1408747	A1027	100	EMEA	emea@mosaic.org
9/17/2017	30-1787391	A1033	107	APAC	apac@mosaic.org
5/3/2017	31-1179401	P1000	212	EMEA	emea@mosaic.org
2/26/2017	31-9526625	A1022	115	EMEA	emea@mosaic.org
1/6/2017	32-2518343	A1018	204	LATAM	latam@mosaic.org
7/19/2017	32-7788583	A1008	66	AMER	amer@mosaic.org
2/27/2017	33-3793998	P1002	123	LATAM	latam@mosaic.org
12/31/2017	34-6853683	A1031	258	EMEA	emea@mosaic.org
5/5/2017	34-9472308	A1017	129	APAC	apac@mosaic.org
3/24/2017	35-5990805	A1021	59	EMEA	emea@mosaic.org
6/9/2017	35-6566440	A1029	80	EMEA	emea@mosaic.org
10/9/2016	35-9033771	P1023	143	AMER	amer@mosaic.org
11/13/2017	36-0202694	P1016	65	EMEA	emea@mosaic.org
11/12/2016	36-1254725	P1016	161	LATAM	latam@mosaic.org
7/27/2017	36-7198219	A1051	157	APAC	apac@mosaic.org
10/17/2017	36-8531102	A1028	160	LATAM	latam@mosaic.org
6/23/2017	37-2172688	P1047	208	APAC	apac@mosaic.org
6/24/2017	38-5133348	A1046	211	APAC	apac@mosaic.org
10/7/2016	39-8476343	A1038	94	EMEA	emea@mosaic.org
10/21/2016	40-0805242	A1051	148	EMEA	emea@mosaic.org
12/19/2016	40-6819852	A1049	168	EMEA	emea@mosaic.org
12/15/2016	42-0898028	A1029	244	EMEA	emea@mosaic.org
8/24/2017	43-6412318	A1025	123	LATAM	latam@mosaic.org
9/26/2017	45-1989123	P1016	165	AMER	amer@mosaic.org
10/12/2016	45-1989123	P1005	71	AMER	amer@mosaic.org
9/30/2016	45-8060578	A1020	227	LATAM	latam@mosaic.org
3/16/2017	46-1268459	P1035	135	APAC	apac@mosaic.org
6/11/2017	46-4800320	A1042	222	APAC	apac@mosaic.org
8/11/2017	46-8696913	A1030	262	APAC	apac@mosaic.org
2/26/2017	47-5530734	A1034	196	EMEA	emea@mosaic.org
4/26/2017	47-8322991	A1036	265	EMEA	emea@mosaic.org
9/23/2017	47-8623514	A1045	206	APAC	apac@mosaic.org
1/7/2017	48-2070644	P1047	104	LATAM	latam@mosaic.org
7/15/2017	48-2732603	P1001	77	EMEA	emea@mosaic.org
2/13/2017	48-7215228	A1043	230	EMEA	emea@mosaic.org
6/16/2017	48-9762659	A1028	167	LATAM	latam@mosaic.org
11/25/2016	49-4605464	A1036	22	AMER	amer@mosaic.org
1/25/2017	50-4165482	A1031	81	LATAM	latam@mosaic.org
1/21/2017	51-3717289	A1020	64	APAC	apac@mosaic.org
9/27/2016	52-2615151	A1046	232	EMEA	emea@mosaic.org
6/27/2017	52-2615151	P1002	238	EMEA	emea@mosaic.org
11/5/2016	52-2615151	A1012	31	EMEA	emea@mosaic.org
6/6/2017	52-2615151	A1034	38	EMEA	emea@mosaic.org
11/14/2017	52-2615151	A1032	173	EMEA	emea@mosaic.org
5/13/2017	55-6717585	P1007	72	LATAM	latam@mosaic.org
2/14/2017	57-2566412	A1022	64	LATAM	latam@mosaic.org
3/15/2017	57-6086130	A1015	200	LATAM	latam@mosaic.org
12/15/2016	57-7200202	A1044	71	APAC	apac@mosaic.org
11/21/2016	57-9497987	P1001	47	EMEA	emea@mosaic.org
3/10/2017	59-7876821	A1008	116	APAC	apac@mosaic.org
12/21/2016	60-3945259	A1040	200	EMEA	emea@mosaic.org
11/24/2016	61-0825788	A1018	139	LATAM	latam@mosaic.org
7/12/2017	61-1808299	A1030	212	AMER	amer@mosaic.org
11/7/2016	61-2288097	A1021	97	LATAM	latam@mosaic.org
3/4/2017	61-2836749	A1026	290	AMER	amer@mosaic.org
9/23/2016	61-7369213	A1044	102	LATAM	latam@mosaic.org
5/22/2017	61-7942437	P1009	197	APAC	apac@mosaic.org
12/11/2017	64-0391421	A1040	296	APAC	apac@mosaic.org
11/24/2016	64-2539603	P1007	116	EMEA	emea@mosaic.org
10/12/2017	65-1155304	A1033	300	APAC	apac@mosaic.org
8/29/2017	65-2584352	P1047	93	EMEA	emea@mosaic.org
9/9/2017	65-5041521	A1020	275	LATAM	latam@mosaic.org
1/8/2017	66-8229120	A1006	145	APAC	apac@mosaic.org
5/3/2017	67-7928364	A1043	112	APAC	apac@mosaic.org
10/15/2017	72-1759802	A1013	78	AMER	amer@mosaic.org
4/19/2017	72-2211334	A1048	161	AMER	amer@mosaic.org
9/8/2017	72-4710527	P1002	48	APAC	apac@mosaic.org
9/29/2017	73-1433064	A1010	114	APAC	apac@mosaic.org
10/12/2017	74-5055741	A1030	265	EMEA	emea@mosaic.org
12/13/2016	74-5526272	A1024	86	EMEA	emea@mosaic.org
7/18/2017	75-7055117	A1051	116	EMEA	emea@mosaic.org
10/5/2017	75-8655478	A1049	83	EMEA	emea@mosaic.org
10/3/2016	75-8944888	P1053	144	LATAM	latam@mosaic.org
7/14/2017	76-4012643	P1023	131	APAC	apac@mosaic.org
12/24/2017	76-5039611	A1014	96	EMEA	emea@mosaic.org
1/29/2017	79-8271999	A1036	97	APAC	apac@mosaic.org
11/13/2017	80-8968761	A1026	272	AMER	amer@mosaic.org
6/13/2017	80-9106219	P1003	83	APAC	apac@mosaic.org
11/10/2016	81-0974672	A1041	228	APAC	apac@mosaic.org
3/26/2017	82-1959713	A1025	96	LATAM	latam@mosaic.org
7/22/2017	82-2157613	P1001	148	APAC	apac@mosaic.org
4/14/2017	82-9288865	A1050	184	APAC	apac@mosaic.org
1/27/2017	83-0344794	A1012	111	APAC	apac@mosaic.org
5/7/2017	83-2482119	A1043	215	EMEA	emea@mosaic.org
11/9/2016	84-4330473	A1042	182	LATAM	latam@mosaic.org
10/7/2017	84-8601325	P1000	154	AMER	amer@mosaic.org
12/13/2016	85-1631479	A1022	184	LATAM	latam@mosaic.org
7/3/2017	85-1772639	P1007	132	LATAM	latam@mosaic.org
10/22/2016	88-7109905	A1027	220	AMER	amer@mosaic.org
8/4/2017	89-7694937	A1052	37	EMEA	emea@mosaic.org
1/29/2017	89-9847337	P1005	205	LATAM	latam@mosaic.org
10/4/2016	90-4078195	A1021	61	APAC	apac@mosaic.org
4/13/2017	91-2310675	P1009	243	EMEA	emea@mosaic.org
2/2/2017	93-0440267	A1006	224	LATAM	latam@mosaic.org
12/14/2016	93-6021177	A1011	53	AMER	amer@mosaic.org
12/21/2016	94-0042040	P1000	204	APAC	apac@mosaic.org
10/30/2017	94-6854600	A1048	231	APAC	apac@mosaic.org
9/15/2017	96-1923393	A1052	274	LATAM	latam@mosaic.org
9/20/2016	98-2489738	A1019	279	APAC	apac@mosaic.org
5/26/2017	98-9730243	A1046	185	EMEA	emea@mosaic.org
3/23/2017	99-3217447	A1013	157	APAC	apac@mosaic.org
8/23/2017	99-3901621	A1032	68	LATAM	latam@mosaic.org
4/23/2017	99-8500787	A1029	196	EMEA	emea@mosaic.org
1/30/2017	99-9693316	A1017	30	EMEA	emea@mosaic.org
10/15/2016	99-9693316	A1019	203	EMEA	emea@mosaic.org
