Temperature,Date,Country
80,7/1/2008,Afghanistan
76,8/1/2008,Afghanistan
69,9/1/2008,Afghanistan
60,10/1/2008,Afghanistan
45,11/1/2008,Afghanistan
39,12/1/2008,Afghanistan
35,1/1/2009,Afghanistan
41,2/1/2009,Afghanistan
51,3/1/2009,Afghanistan
54,4/1/2009,Afghanistan
68,5/1/2009,Afghanistan
72,6/1/2009,Afghanistan
78,7/1/2009,Afghanistan
77,8/1/2009,Afghanistan
69,9/1/2009,Afghanistan
57,10/1/2009,Afghanistan
46,11/1/2009,Afghanistan
39,12/1/2009,Afghanistan
39,1/1/2010,Afghanistan
37,2/1/2010,Afghanistan
52,3/1/2010,Afghanistan
61,4/1/2010,Afghanistan
67,5/1/2010,Afghanistan
75,6/1/2010,Afghanistan
78,7/1/2010,Afghanistan
76,8/1/2010,Afghanistan
67,9/1/2010,Afghanistan
62,10/1/2010,Afghanistan
45,11/1/2010,Afghanistan
37,12/1/2010,Afghanistan
34,1/1/2011,Afghanistan
37,2/1/2011,Afghanistan
47,3/1/2011,Afghanistan
60,4/1/2011,Afghanistan
71,5/1/2011,Afghanistan
78,6/1/2011,Afghanistan
78,7/1/2011,Afghanistan
78,8/1/2011,Afghanistan
68,9/1/2011,Afghanistan
59,10/1/2011,Afghanistan
45,11/1/2011,Afghanistan
33,12/1/2011,Afghanistan
31,1/1/2012,Afghanistan
31,2/1/2012,Afghanistan
46,3/1/2012,Afghanistan
59,4/1/2012,Afghanistan
67,5/1/2012,Afghanistan
75,6/1/2012,Afghanistan
80,7/1/2012,Afghanistan
77,8/1/2012,Afghanistan
68,9/1/2012,Afghanistan
57,10/1/2012,Afghanistan
45,11/1/2012,Afghanistan
36,12/1/2012,Afghanistan
35,1/1/2013,Afghanistan
38,2/1/2013,Afghanistan
45,3/1/2013,Afghanistan
57,4/1/2013,Afghanistan
67,5/1/2013,Afghanistan
78,6/1/2013,Afghanistan
80,7/1/2013,Afghanistan
76,8/1/2013,Afghanistan
71,9/1/2013,Afghanistan
60,10/1/2013,Afghanistan
46,11/1/2013,Afghanistan
37,12/1/2013,Afghanistan
36,1/1/2014,Afghanistan
31,2/1/2014,Afghanistan
47,3/1/2014,Afghanistan
58,4/1/2014,Afghanistan
67,5/1/2014,Afghanistan
77,6/1/2014,Afghanistan
80,7/1/2014,Afghanistan
77,8/1/2014,Afghanistan
72,9/1/2014,Afghanistan
59,10/1/2014,Afghanistan
45,11/1/2014,Afghanistan
37,12/1/2014,Afghanistan
36,1/1/2015,Afghanistan
39,2/1/2015,Afghanistan
45,3/1/2015,Afghanistan
59,4/1/2015,Afghanistan
67,5/1/2015,Afghanistan
78,6/1/2015,Afghanistan
80,7/1/2015,Afghanistan
76,8/1/2015,Afghanistan
67,9/1/2015,Afghanistan
60,10/1/2015,Afghanistan
46,11/1/2015,Afghanistan
37,12/1/2015,Afghanistan
72,1/1/1991,Angola
73,2/1/1991,Angola
73,3/1/1991,Angola
72,4/1/1991,Angola
70,5/1/1991,Angola
67,6/1/1991,Angola
65,7/1/1991,Angola
68,8/1/1991,Angola
72,9/1/1991,Angola
74,10/1/1991,Angola
73,11/1/1991,Angola
73,12/1/1991,Angola
73,1/1/1992,Angola
74,2/1/1992,Angola
74,3/1/1992,Angola
73,4/1/1992,Angola
70,5/1/1992,Angola
66,6/1/1992,Angola
65,7/1/1992,Angola
68,8/1/1992,Angola
73,9/1/1992,Angola
74,10/1/1992,Angola
73,11/1/1992,Angola
73,12/1/1992,Angola
73,1/1/1993,Angola
72,2/1/1993,Angola
73,3/1/1993,Angola
72,4/1/1993,Angola
71,5/1/1993,Angola
66,6/1/1993,Angola
65,7/1/1993,Angola
68,8/1/1993,Angola
71,9/1/1993,Angola
75,10/1/1993,Angola
73,11/1/1993,Angola
74,12/1/1993,Angola
73,1/1/1994,Angola
73,2/1/1994,Angola
74,3/1/1994,Angola
71,4/1/1994,Angola
70,5/1/1994,Angola
65,6/1/1994,Angola
64,7/1/1994,Angola
68,8/1/1994,Angola
73,9/1/1994,Angola
74,10/1/1994,Angola
74,11/1/1994,Angola
73,12/1/1994,Angola
75,1/1/1995,Angola
73,2/1/1995,Angola
73,3/1/1995,Angola
72,4/1/1995,Angola
70,5/1/1995,Angola
66,6/1/1995,Angola
65,7/1/1995,Angola
70,8/1/1995,Angola
72,9/1/1995,Angola
75,10/1/1995,Angola
75,11/1/1995,Angola
73,12/1/1995,Angola
73,1/1/1996,Angola
73,2/1/1996,Angola
71,3/1/1996,Angola
72,4/1/1996,Angola
70,5/1/1996,Angola
64,6/1/1996,Angola
65,7/1/1996,Angola
70,8/1/1996,Angola
73,9/1/1996,Angola
75,10/1/1996,Angola
75,11/1/1996,Angola
74,12/1/1996,Angola
73,1/1/1997,Angola
72,2/1/1997,Angola
74,3/1/1997,Angola
73,4/1/1997,Angola
69,5/1/1997,Angola
67,6/1/1997,Angola
66,7/1/1997,Angola
69,8/1/1997,Angola
74,9/1/1997,Angola
74,10/1/1997,Angola
75,11/1/1997,Angola
75,12/1/1997,Angola
73,1/1/1998,Angola
74,2/1/1998,Angola
73,3/1/1998,Angola
74,4/1/1998,Angola
71,5/1/1998,Angola
67,6/1/1998,Angola
67,7/1/1998,Angola
69,8/1/1998,Angola
73,9/1/1998,Angola
75,10/1/1998,Angola
74,11/1/1998,Angola
72,12/1/1998,Angola
72,1/1/1999,Angola
73,2/1/1999,Angola
73,3/1/1999,Angola
73,4/1/1999,Angola
70,5/1/1999,Angola
66,6/1/1999,Angola
66,7/1/1999,Angola
68,8/1/1999,Angola
69,9/1/1999,Angola
73,10/1/1999,Angola
74,11/1/1999,Angola
74,12/1/1999,Angola
73,1/1/2000,Angola
73,2/1/2000,Angola
73,3/1/2000,Angola
71,4/1/2000,Angola
70,5/1/2000,Angola
67,6/1/2000,Angola
65,7/1/2000,Angola
68,8/1/2000,Angola
73,9/1/2000,Angola
75,10/1/2000,Angola
72,11/1/2000,Angola
73,12/1/2000,Angola
73,1/1/2001,Angola
73,2/1/2001,Angola
74,3/1/2001,Angola
73,4/1/2001,Angola
71,5/1/2001,Angola
66,6/1/2001,Angola
65,7/1/2001,Angola
69,8/1/2001,Angola
73,9/1/2001,Angola
74,10/1/2001,Angola
73,11/1/2001,Angola
74,12/1/2001,Angola
73,1/1/2002,Angola
73,2/1/2002,Angola
73,3/1/2002,Angola
74,4/1/2002,Angola
71,5/1/2002,Angola
67,6/1/2002,Angola
67,7/1/2002,Angola
70,8/1/2002,Angola
71,9/1/2002,Angola
73,10/1/2002,Angola
75,11/1/2002,Angola
73,12/1/2002,Angola
74,1/1/2003,Angola
74,2/1/2003,Angola
74,3/1/2003,Angola
73,4/1/2003,Angola
71,5/1/2003,Angola
68,6/1/2003,Angola
65,7/1/2003,Angola
70,8/1/2003,Angola
73,9/1/2003,Angola
75,10/1/2003,Angola
74,11/1/2003,Angola
73,12/1/2003,Angola
73,1/1/2004,Angola
74,2/1/2004,Angola
74,3/1/2004,Angola
73,4/1/2004,Angola
69,5/1/2004,Angola
65,6/1/2004,Angola
65,7/1/2004,Angola
68,8/1/2004,Angola
73,9/1/2004,Angola
74,10/1/2004,Angola
74,11/1/2004,Angola
74,12/1/2004,Angola
75,1/1/2005,Angola
74,2/1/2005,Angola
75,3/1/2005,Angola
75,4/1/2005,Angola
72,5/1/2005,Angola
68,6/1/2005,Angola
67,7/1/2005,Angola
70,8/1/2005,Angola
72,9/1/2005,Angola
76,10/1/2005,Angola
74,11/1/2005,Angola
73,12/1/2005,Angola
73,1/1/2006,Angola
73,2/1/2006,Angola
73,3/1/2006,Angola
73,4/1/2006,Angola
69,5/1/2006,Angola
67,6/1/2006,Angola
66,7/1/2006,Angola
68,8/1/2006,Angola
72,9/1/2006,Angola
74,10/1/2006,Angola
73,11/1/2006,Angola
72,12/1/2006,Angola
73,1/1/2007,Angola
73,2/1/2007,Angola
73,3/1/2007,Angola
73,4/1/2007,Angola
70,5/1/2007,Angola
65,6/1/2007,Angola
65,7/1/2007,Angola
68,8/1/2007,Angola
72,9/1/2007,Angola
73,10/1/2007,Angola
73,11/1/2007,Angola
72,12/1/2007,Angola
72,1/1/2008,Angola
72,2/1/2008,Angola
72,3/1/2008,Angola
72,4/1/2008,Angola
70,5/1/2008,Angola
66,6/1/2008,Angola
65,7/1/2008,Angola
68,8/1/2008,Angola
72,9/1/2008,Angola
75,10/1/2008,Angola
73,11/1/2008,Angola
74,12/1/2008,Angola
74,1/1/2009,Angola
73,2/1/2009,Angola
73,3/1/2009,Angola
72,4/1/2009,Angola
70,5/1/2009,Angola
66,6/1/2009,Angola
65,7/1/2009,Angola
72,8/1/2009,Angola
72,9/1/2009,Angola
75,10/1/2009,Angola
73,11/1/2009,Angola
74,12/1/2009,Angola
74,1/1/2010,Angola
75,2/1/2010,Angola
75,3/1/2010,Angola
73,4/1/2010,Angola
71,5/1/2010,Angola
67,6/1/2010,Angola
66,7/1/2010,Angola
68,8/1/2010,Angola
73,9/1/2010,Angola
74,10/1/2010,Angola
74,11/1/2010,Angola
72,12/1/2010,Angola
73,1/1/2011,Angola
72,2/1/2011,Angola
73,3/1/2011,Angola
71,4/1/2011,Angola
69,5/1/2011,Angola
67,6/1/2011,Angola
65,7/1/2011,Angola
68,8/1/2011,Angola
73,9/1/2011,Angola
74,10/1/2011,Angola
73,11/1/2011,Angola
73,12/1/2011,Angola
72,1/1/2012,Angola
73,2/1/2012,Angola
74,3/1/2012,Angola
71,4/1/2012,Angola
69,5/1/2012,Angola
66,6/1/2012,Angola
64,7/1/2012,Angola
68,8/1/2012,Angola
72,9/1/2012,Angola
74,10/1/2012,Angola
73,11/1/2012,Angola
73,12/1/2012,Angola
73,1/1/2013,Angola
73,2/1/2013,Angola
74,3/1/2013,Angola
72,4/1/2013,Angola
69,5/1/2013,Angola
68,6/1/2013,Angola
67,7/1/2013,Angola
69,8/1/2013,Angola
73,9/1/2013,Angola
73,10/1/2013,Angola
73,11/1/2013,Angola
72,12/1/2013,Angola
72,1/1/2014,Angola
73,2/1/2014,Angola
73,3/1/2014,Angola
73,4/1/2014,Angola
70,5/1/2014,Angola
66,6/1/2014,Angola
66,7/1/2014,Angola
68,8/1/2014,Angola
72,9/1/2014,Angola
74,10/1/2014,Angola
73,11/1/2014,Angola
73,12/1/2014,Angola
73,1/1/2015,Angola
73,2/1/2015,Angola
74,3/1/2015,Angola
73,4/1/2015,Angola
70,5/1/2015,Angola
65,6/1/2015,Angola
66,7/1/2015,Angola
69,8/1/2015,Angola
74,9/1/2015,Angola
75,10/1/2015,Angola
74,11/1/2015,Angola
74,12/1/2015,Angola
34,1/1/1991,Albania
36,2/1/1991,Albania
47,3/1/1991,Albania
48,4/1/1991,Albania
53,5/1/1991,Albania
66,6/1/1991,Albania
69,7/1/1991,Albania
69,8/1/1991,Albania
65,9/1/1991,Albania
55,10/1/1991,Albania
47,11/1/1991,Albania
35,12/1/1991,Albania
35,1/1/1992,Albania
36,2/1/1992,Albania
42,3/1/1992,Albania
48,4/1/1992,Albania
59,5/1/1992,Albania
64,6/1/1992,Albania
69,7/1/1992,Albania
74,8/1/1992,Albania
64,9/1/1992,Albania
58,10/1/1992,Albania
47,11/1/1992,Albania
37,12/1/1992,Albania
35,1/1/1993,Albania
34,2/1/1993,Albania
42,3/1/1993,Albania
50,4/1/1993,Albania
60,5/1/1993,Albania
67,6/1/1993,Albania
69,7/1/1993,Albania
72,8/1/1993,Albania
62,9/1/1993,Albania
57,10/1/1993,Albania
44,11/1/1993,Albania
41,12/1/1993,Albania
39,1/1/1994,Albania
39,2/1/1994,Albania
46,3/1/1994,Albania
51,4/1/1994,Albania
60,5/1/1994,Albania
66,6/1/1994,Albania
73,7/1/1994,Albania
74,8/1/1994,Albania
68,9/1/1994,Albania
56,10/1/1994,Albania
43,11/1/1994,Albania
38,12/1/1994,Albania
36,1/1/1995,Albania
42,2/1/1995,Albania
42,3/1/1995,Albania
48,4/1/1995,Albania
58,5/1/1995,Albania
64,6/1/1995,Albania
73,7/1/1995,Albania
68,8/1/1995,Albania
60,9/1/1995,Albania
54,10/1/1995,Albania
41,11/1/1995,Albania
42,12/1/1995,Albania
37,1/1/1996,Albania
37,2/1/1996,Albania
39,3/1/1996,Albania
49,4/1/1996,Albania
60,5/1/1996,Albania
68,6/1/1996,Albania
70,7/1/1996,Albania
70,8/1/1996,Albania
57,9/1/1996,Albania
52,10/1/1996,Albania
48,11/1/1996,Albania
40,12/1/1996,Albania
39,1/1/1997,Albania
39,2/1/1997,Albania
44,3/1/1997,Albania
44,4/1/1997,Albania
61,5/1/1997,Albania
68,6/1/1997,Albania
70,7/1/1997,Albania
68,8/1/1997,Albania
64,9/1/1997,Albania
52,10/1/1997,Albania
47,11/1/1997,Albania
39,12/1/1997,Albania
39,1/1/1998,Albania
42,2/1/1998,Albania
40,3/1/1998,Albania
52,4/1/1998,Albania
59,5/1/1998,Albania
68,6/1/1998,Albania
72,7/1/1998,Albania
73,8/1/1998,Albania
62,9/1/1998,Albania
55,10/1/1998,Albania
44,11/1/1998,Albania
36,12/1/1998,Albania
37,1/1/1999,Albania
36,2/1/1999,Albania
44,3/1/1999,Albania
51,4/1/1999,Albania
61,5/1/1999,Albania
68,6/1/1999,Albania
72,7/1/1999,Albania
73,8/1/1999,Albania
66,9/1/1999,Albania
57,10/1/1999,Albania
47,11/1/1999,Albania
41,12/1/1999,Albania
31,1/1/2000,Albania
38,2/1/2000,Albania
42,3/1/2000,Albania
54,4/1/2000,Albania
63,5/1/2000,Albania
69,6/1/2000,Albania
71,7/1/2000,Albania
73,8/1/2000,Albania
63,9/1/2000,Albania
55,10/1/2000,Albania
50,11/1/2000,Albania
41,12/1/2000,Albania
41,1/1/2001,Albania
41,2/1/2001,Albania
50,3/1/2001,Albania
50,4/1/2001,Albania
61,5/1/2001,Albania
65,6/1/2001,Albania
72,7/1/2001,Albania
74,8/1/2001,Albania
62,9/1/2001,Albania
58,10/1/2001,Albania
45,11/1/2001,Albania
33,12/1/2001,Albania
34,1/1/2002,Albania
44,2/1/2002,Albania
47,3/1/2002,Albania
51,4/1/2002,Albania
61,5/1/2002,Albania
69,6/1/2002,Albania
72,7/1/2002,Albania
70,8/1/2002,Albania
61,9/1/2002,Albania
54,10/1/2002,Albania
49,11/1/2002,Albania
39,12/1/2002,Albania
38,1/1/2003,Albania
32,2/1/2003,Albania
42,3/1/2003,Albania
50,4/1/2003,Albania
64,5/1/2003,Albania
69,6/1/2003,Albania
73,7/1/2003,Albania
75,8/1/2003,Albania
63,9/1/2003,Albania
54,10/1/2003,Albania
49,11/1/2003,Albania
39,12/1/2003,Albania
34,1/1/2004,Albania
38,2/1/2004,Albania
44,3/1/2004,Albania
52,4/1/2004,Albania
57,5/1/2004,Albania
65,6/1/2004,Albania
71,7/1/2004,Albania
69,8/1/2004,Albania
63,9/1/2004,Albania
58,10/1/2004,Albania
47,11/1/2004,Albania
41,12/1/2004,Albania
36,1/1/2005,Albania
33,2/1/2005,Albania
42,3/1/2005,Albania
50,4/1/2005,Albania
60,5/1/2005,Albania
66,6/1/2005,Albania
71,7/1/2005,Albania
69,8/1/2005,Albania
64,9/1/2005,Albania
54,10/1/2005,Albania
45,11/1/2005,Albania
38,12/1/2005,Albania
32,1/1/2006,Albania
36,2/1/2006,Albania
42,3/1/2006,Albania
52,4/1/2006,Albania
60,5/1/2006,Albania
66,6/1/2006,Albania
72,7/1/2006,Albania
69,8/1/2006,Albania
64,9/1/2006,Albania
56,10/1/2006,Albania
44,11/1/2006,Albania
39,12/1/2006,Albania
40,1/1/2007,Albania
41,2/1/2007,Albania
46,3/1/2007,Albania
53,4/1/2007,Albania
61,5/1/2007,Albania
69,6/1/2007,Albania
75,7/1/2007,Albania
72,8/1/2007,Albania
61,9/1/2007,Albania
54,10/1/2007,Albania
44,11/1/2007,Albania
35,12/1/2007,Albania
37,1/1/2008,Albania
39,2/1/2008,Albania
46,3/1/2008,Albania
52,4/1/2008,Albania
60,5/1/2008,Albania
69,6/1/2008,Albania
72,7/1/2008,Albania
73,8/1/2008,Albania
62,9/1/2008,Albania
56,10/1/2008,Albania
48,11/1/2008,Albania
41,12/1/2008,Albania
37,1/1/2009,Albania
37,2/1/2009,Albania
42,3/1/2009,Albania
53,4/1/2009,Albania
62,5/1/2009,Albania
66,6/1/2009,Albania
72,7/1/2009,Albania
73,8/1/2009,Albania
66,9/1/2009,Albania
55,10/1/2009,Albania
47,11/1/2009,Albania
42,12/1/2009,Albania
37,1/1/2010,Albania
39,2/1/2010,Albania
44,3/1/2010,Albania
53,4/1/2010,Albania
60,5/1/2010,Albania
66,6/1/2010,Albania
73,7/1/2010,Albania
73,8/1/2010,Albania
63,9/1/2010,Albania
53,10/1/2010,Albania
52,11/1/2010,Albania
40,12/1/2010,Albania
36,1/1/2011,Albania
38,2/1/2011,Albania
44,3/1/2011,Albania
53,4/1/2011,Albania
60,5/1/2011,Albania
68,6/1/2011,Albania
72,7/1/2011,Albania
73,8/1/2011,Albania
69,9/1/2011,Albania
52,10/1/2011,Albania
42,11/1/2011,Albania
40,12/1/2011,Albania
33,1/1/2012,Albania
34,2/1/2012,Albania
46,3/1/2012,Albania
53,4/1/2012,Albania
60,5/1/2012,Albania
68,6/1/2012,Albania
75,7/1/2012,Albania
75,8/1/2012,Albania
67,9/1/2012,Albania
59,10/1/2012,Albania
50,11/1/2012,Albania
38,12/1/2012,Albania
39,1/1/2013,Albania
39,2/1/2013,Albania
44,3/1/2013,Albania
54,4/1/2013,Albania
62,5/1/2013,Albania
67,6/1/2013,Albania
73,7/1/2013,Albania
75,8/1/2013,Albania
65,9/1/2013,Albania
57,10/1/2013,Albania
49,11/1/2013,Albania
39,12/1/2013,Albania
41,1/1/2014,Albania
43,2/1/2014,Albania
47,3/1/2014,Albania
52,4/1/2014,Albania
58,5/1/2014,Albania
67,6/1/2014,Albania
70,7/1/2014,Albania
71,8/1/2014,Albania
63,9/1/2014,Albania
55,10/1/2014,Albania
49,11/1/2014,Albania
41,12/1/2014,Albania
38,1/1/2015,Albania
39,2/1/2015,Albania
44,3/1/2015,Albania
51,4/1/2015,Albania
62,5/1/2015,Albania
67,6/1/2015,Albania
76,7/1/2015,Albania
74,8/1/2015,Albania
67,9/1/2015,Albania
56,10/1/2015,Albania
49,11/1/2015,Albania
39,12/1/2015,Albania
69,1/1/1991,Argentina
68,2/1/1991,Argentina
66,3/1/1991,Argentina
59,4/1/1991,Argentina
54,5/1/1991,Argentina
47,6/1/1991,Argentina
45,7/1/1991,Argentina
48,8/1/1991,Argentina
54,9/1/1991,Argentina
57,10/1/1991,Argentina
63,11/1/1991,Argentina
66,12/1/1991,Argentina
70,1/1/1992,Argentina
67,2/1/1992,Argentina
66,3/1/1992,Argentina
57,4/1/1992,Argentina
50,5/1/1992,Argentina
47,6/1/1992,Argentina
41,7/1/1992,Argentina
49,8/1/1992,Argentina
53,9/1/1992,Argentina
58,10/1/1992,Argentina
61,11/1/1992,Argentina
67,12/1/1992,Argentina
70,1/1/1993,Argentina
68,2/1/1993,Argentina
67,3/1/1993,Argentina
58,4/1/1993,Argentina
51,5/1/1993,Argentina
47,6/1/1993,Argentina
44,7/1/1993,Argentina
50,8/1/1993,Argentina
52,9/1/1993,Argentina
59,10/1/1993,Argentina
63,11/1/1993,Argentina
68,12/1/1993,Argentina
70,1/1/1994,Argentina
67,2/1/1994,Argentina
65,3/1/1994,Argentina
58,4/1/1994,Argentina
54,5/1/1994,Argentina
50,6/1/1994,Argentina
46,7/1/1994,Argentina
50,8/1/1994,Argentina
55,9/1/1994,Argentina
59,10/1/1994,Argentina
65,11/1/1994,Argentina
71,12/1/1994,Argentina
69,1/1/1995,Argentina
66,2/1/1995,Argentina
64,3/1/1995,Argentina
58,4/1/1995,Argentina
52,5/1/1995,Argentina
46,6/1/1995,Argentina
44,7/1/1995,Argentina
47,8/1/1995,Argentina
54,9/1/1995,Argentina
59,10/1/1995,Argentina
65,11/1/1995,Argentina
71,12/1/1995,Argentina
69,1/1/1996,Argentina
67,2/1/1996,Argentina
65,3/1/1996,Argentina
57,4/1/1996,Argentina
53,5/1/1996,Argentina
44,6/1/1996,Argentina
44,7/1/1996,Argentina
51,8/1/1996,Argentina
53,9/1/1996,Argentina
60,10/1/1996,Argentina
65,11/1/1996,Argentina
67,12/1/1996,Argentina
71,1/1/1997,Argentina
66,2/1/1997,Argentina
65,3/1/1997,Argentina
60,4/1/1997,Argentina
53,5/1/1997,Argentina
47,6/1/1997,Argentina
48,7/1/1997,Argentina
50,8/1/1997,Argentina
54,9/1/1997,Argentina
58,10/1/1997,Argentina
63,11/1/1997,Argentina
67,12/1/1997,Argentina
69,1/1/1998,Argentina
66,2/1/1998,Argentina
63,3/1/1998,Argentina
57,4/1/1998,Argentina
53,5/1/1998,Argentina
48,6/1/1998,Argentina
49,7/1/1998,Argentina
49,8/1/1998,Argentina
51,9/1/1998,Argentina
61,10/1/1998,Argentina
64,11/1/1998,Argentina
68,12/1/1998,Argentina
69,1/1/1999,Argentina
69,2/1/1999,Argentina
